,open,close,high,low,volume,date
1293,27497.4,28286.7,28379.9,27176.6,508254.515,2023-04-25
1294,28286.7,28395.9,30048.2,27200.0,1284924.668,2023-04-26
1295,28396.0,29459.0,29898.0,28365.3,952584.739,2023-04-27
1296,29459.0,29300.0,29591.1,28870.0,508350.155,2023-04-28
1297,29300.0,29212.7,29443.9,29000.4,218013.244,2023-04-29
1298,29212.7,29223.0,29950.0,29067.4,417798.846,2023-04-30
1299,29223.0,28054.4,29325.5,27650.0,624974.488,2023-05-01
1300,28054.5,28656.5,28888.0,27854.0,513546.269,2023-05-02
1301,28656.4,29018.4,29258.4,28080.0,676466.230,2023-05-03
1302,29018.4,28826.0,29380.0,28660.0,426425.584,2023-05-04
1303,28826.0,29491.5,29693.0,28618.3,578485.177,2023-05-05
1304,29491.5,28837.8,29840.0,28333.0,475628.901,2023-05-06
1305,28837.9,28419.4,29137.0,28370.0,308410.643,2023-05-07
1306,28419.5,27659.8,28624.6,27250.0,658188.777,2023-05-08
1307,27659.8,27610.2,27815.6,27316.8,367664.686,2023-05-09
1308,27610.2,27582.9,28297.0,26666.6,722502.676,2023-05-10
1309,27583.0,26956.4,27630.0,26688.8,538822.363,2023-05-11
1310,26956.4,26785.1,27090.0,25751.0,615645.508,2023-05-12
1311,26785.2,26762.7,27051.5,26674.9,242694.929,2023-05-13
1312,26762.8,26901.9,27200.0,26557.0,247579.427,2023-05-14
1313,26901.9,27152.5,27650.0,26694.4,450263.076,2023-05-15
1314,27152.5,27024.8,27284.7,26832.0,373172.951,2023-05-16
1315,27024.7,27395.8,27500.0,26527.5,490065.218,2023-05-17
1316,27395.7,26809.3,27482.7,26335.3,544971.979,2023-05-18
1317,26809.4,26870.1,27180.0,26611.2,324097.956,2023-05-19
1318,26870.1,27089.5,27144.4,26813.5,137515.354,2023-05-20
1319,27089.6,26732.8,27288.0,26642.0,238776.425,2023-05-21
1320,26732.8,26840.2,27097.8,26500.0,328030.520,2023-05-22
1321,26840.2,27209.9,27527.5,26782.6,369176.618,2023-05-23
1322,27209.9,26313.8,27212.9,26060.0,535191.677,2023-05-24
1323,26313.9,26461.8,26644.0,25850.0,394535.225,2023-05-25
1324,26461.7,26689.9,26925.0,26313.9,324475.546,2023-05-26
1325,26689.8,26841.6,26890.0,26528.6,163681.935,2023-05-27
1326,26841.6,28055.7,28252.8,26746.0,440115.394,2023-05-28
1327,28055.8,27722.0,28442.0,27513.5,411290.549,2023-05-29
1328,27722.1,27680.1,28038.6,27530.0,334379.313,2023-05-30
1329,27680.0,27201.1,27825.0,26826.0,471381.890,2023-05-31
1330,27201.1,26805.3,27347.9,26600.0,404787.572,2023-06-01
1331,26805.3,27227.8,27290.0,26477.6,391110.093,2023-06-02
1332,27227.8,27054.9,27340.2,26900.0,182464.100,2023-06-03
1333,27054.9,27102.4,27460.0,26935.3,218271.544,2023-06-04
1334,27102.4,25714.7,27125.0,25360.1,700502.548,2023-06-05
1335,25714.6,27221.5,27358.1,25321.6,731445.649,2023-06-06
1336,27221.5,26325.9,27394.4,26111.0,660044.537,2023-06-07
1337,26325.9,26485.9,26800.0,26195.4,333104.839,2023-06-08
1338,26486.0,26468.1,26775.0,26236.0,283719.198,2023-06-09
1339,26468.2,25826.6,26525.0,25300.0,608917.569,2023-06-10
1340,25826.6,25909.9,26199.0,25621.3,279365.563,2023-06-11
1341,25910.0,25894.8,26097.7,25600.0,298900.468,2023-06-12
1342,25894.8,25918.0,26430.5,25708.0,434536.754,2023-06-13
