,close,high,low,volume,date,ticker
2178,98.71,101.81,98.56,36210900,2001-09-20,SPY
2179,97.28,98.99,93.8,49782100,2001-09-21,SPY
2180,100.7,101.16,99.06,25549600,2001-09-24,SPY
2181,101.75,102.0,99.9,25466200,2001-09-25,SPY
2182,101.39,102.4,100.43,18587500,2001-09-26,SPY
2183,102.27,102.29,100.0,20536800,2001-09-27,SPY
2184,104.44,109.62,102.5,21687200,2001-09-28,SPY
2185,104.27,104.32,102.83,20457400,2001-10-01,SPY
2186,105.58,105.58,103.65,19833100,2001-10-02,SPY
2187,107.35,107.88,104.35,32045800,2001-10-03,SPY
2188,107.44,108.97,106.75,32674100,2001-10-04,SPY
2189,107.23,107.62,105.52,29796100,2001-10-05,SPY
2190,106.53,107.3,105.87,12970300,2001-10-08,SPY
2191,105.96,106.75,105.6,15976300,2001-10-09,SPY
2192,108.32,108.55,105.52,19987400,2001-10-10,SPY
2193,110.0,110.3,108.95,23006300,2001-10-11,SPY
2194,109.5,109.89,107.3,31360500,2001-10-12,SPY
2195,109.3,109.45,108.06,16873000,2001-10-15,SPY
2196,109.99,110.61,108.95,15877100,2001-10-16,SPY
2197,107.65,111.15,107.65,28542300,2001-10-17,SPY
2198,107.42,108.16,106.75,16510000,2001-10-18,SPY
2199,107.35,107.91,106.01,21912500,2001-10-19,SPY
2200,109.47,109.57,107.21,17540600,2001-10-22,SPY
2201,108.91,110.28,108.38,22062500,2001-10-23,SPY
2202,108.62,109.45,108.22,16065200,2001-10-24,SPY
2203,110.57,110.6,106.74,27467900,2001-10-25,SPY
2204,110.32,111.79,109.67,18623300,2001-10-26,SPY
2205,107.45,110.55,107.45,18727500,2001-10-29,SPY
2206,106.16,107.7,105.56,26178600,2001-10-30,SPY
2207,105.8,107.86,105.8,28124200,2001-10-31,SPY
2208,108.51,109.01,105.7,29806800,2001-11-01,SPY
2209,109.25,109.38,107.87,17575900,2001-11-02,SPY
2210,110.68,111.09,109.95,15929500,2001-11-05,SPY
2211,112.4,112.48,109.85,23245800,2001-11-06,SPY
2212,112.25,113.12,111.64,19716000,2001-11-07,SPY
2213,112.6,114.08,111.9,22563500,2001-11-08,SPY
2214,112.72,112.96,111.44,15895800,2001-11-09,SPY
2215,112.03,112.65,110.0,26068800,2001-11-12,SPY
